carrier,fltno,dep_apt,arr_apt,sched_departure_date,scheduled_departure,actual_departure
AC,7554,YUL,YHZ,2016-05-25,2016-05-25 08:35:00,2016-05-25 08:37:00
AC,7554,YUL,YHZ,2016-05-26,2016-05-26 08:35:00,2016-05-26 08:35:00
AC,7553,YYT,YUL,2016-06-19,2016-06-19 12:35:00,2016-06-19 12:42:00
AC,7553,YYT,YUL,2016-06-20,2016-06-20 12:35:00,2016-06-20 12:42:00
AC,7553,YYT,YUL,2016-06-21,2016-06-21 12:35:00,2016-06-21 12:43:00
AC,7553,YYT,YUL,2016-06-22,2016-06-22 12:35:00,2016-06-22 12:43:00
AC,7553,YYT,YUL,2016-06-23,2016-06-23 12:35:00,2016-06-23 12:43:00
AC,7553,YYT,YUL,2016-06-24,2016-06-24 12:35:00,2016-06-24 12:43:00
