carrier,flight_number,dep_apt,arr_apt,scheduled_date,scheduled_departure,actual_departure
AC,7553,YYT,YUL,2016-06-16,2016-06-16 12:30:00,2016-06-16 12:40:00
AC,7553,YYT,YUL,2016-06-17,2016-06-17 12:30:00,2016-06-17 12:28:00
AC,7553,YYT,YUL,2016-06-18,2016-06-18 12:35:00,2016-06-18 12:31:00
AC,7553,YYT,YUL,2016-06-19,2016-06-19 12:35:00,2016-06-19 12:31:00
AC,7553,YYT,YUL,2016-06-20,2016-06-20 12:35:00,2016-06-20 12:35:00
AC,7553,YYT,YUL,2016-06-21,2016-06-21 12:35:00,2016-06-21 12:51:00
AC,7553,YYT,YUL,2016-06-22,2016-06-22 12:35:00,2016-06-22 13:04:00
AC,7553,YYT,YUL,2016-06-23,2016-06-23 12:35:00,2016-06-23 12:39:00
AC,7553,YYT,YUL,2016-06-24,2016-06-24 12:35:00,2016-06-24 12:44:00
